meniscus ,bubble ,time
0 ,0 ,0
0 ,10 ,1
5 ,17 ,2
5 ,22 ,3
8 ,28 ,4
8 ,37 ,5
7 ,45 ,6
4 ,53 ,7
7 ,61 ,8
11 ,75 ,9
10 ,81 ,10
10 ,89 ,11
11 ,96 ,12
16 ,101 ,13
11 ,107 ,14
16 ,110 ,15
19 ,120 ,16
24 ,123 ,17
22 ,132 ,18
24 ,134 ,19
24 ,145 ,20
22 ,160 ,21
24 ,168 ,22
24 ,174 ,23
24 ,179 ,24
28 ,186 ,25
24 ,191 ,26
22 ,196 ,27
27 ,205 ,28
22 ,214 ,29
24 ,219 ,30
25 ,222 ,31
27 ,233 ,32
22 ,236 ,33
28 ,244 ,34
25 ,248 ,35
28 ,253 ,36
28 ,261 ,37
28 ,269 ,38
25 ,272 ,40
28 ,275 ,41
30 ,287 ,42
27 ,290 ,43
22 ,297 ,44
25 ,301 ,45
30 ,309 ,46
27 ,315 ,47
25 ,323 ,48
32 ,328 ,49
28 ,334 ,50
27 ,340 ,51
28 ,348 ,52
30 ,352 ,53
30 ,362 ,54
28 ,407 ,55
