rise (in pixel),rise of bubble(in pixel)
364.5,996.5
365.5,995.5
365.5,994.5
367.5,992.5
365.5,989.5
365.5,986.5
365.5,980.5
365.5,979.5
363.5,972.5
362.5,962.5
361.5,959.5
361.5,954.5
361.5,946.5
360.5,938.5
360.5,934.5
357.5,929.5
357.5,924.5
357.5,919.5
356.5,911.5
356.5,904.5
354.5,900.5
355.5,896.5
354.5,889.5
355.5,885.5
354.5,877.5
353.5,873.5
352.5,867.5
352.5,862.5
352.5,857.5
352.5,852.5
352.5,848.5
351.5,841.5
350.5,837.5
350.5,830.5
352.5,827.5
351.5,820.5
351.5,816.5
353.5,811.5
349.5,804.5
348.5,801.5
348.5,794.5
349.5,791.5
347.5,784.5
349.5,780.5
348.5,774.5
348.5,769.5
348.5,765.5
348.5,760.5
347.5,755.5
348.5,748.5
348.5,745.5
348.5,739.5
347.5,734.5
348.5,730.5
347.5,724.5
346.5,720.5
347.5,714.5
346.5,710.5
347.5,704.5
346.5,700.5
346.5,694.5
345.5,689.5
346.5,685.5
345.5,679.5
346.5,676.5
345.5,669.5
346.5,666.5
347.5,662.5
345.5,655.5
346.5,649.5
347.5,645.5
345.5,642.5
346.5,637.5
345.5,631.5
345.5,623.5
345.5,621.5
346.5,614.5
345.5,609.5
346.5,606.5
345.5,604.5
348.5,598.5
346.5,594.5
348.5,587.5
345.5,582.5
345.5,579.5
347.5,574.5
345.5,568.5
345.5,562.5
343.5,555.5
342.5,553.5
345.5,549.5
345.5,544.5
346.5,540.5
342.5,533.5
342.5,527.5
342.5,525.5
346.5,518.5
346.5,514.5
345.5,509.5
347.5,506.5
345.5,498.5
347.5,493.5
345.5,491.5
347.5,484.5
348.5,479.5
346.5,474.5
347.5,471.5
345.5,465.5
344.5,460.5
347.5,456.5
347.5,451.5
345.5,445.5
345.5,440.5
349.5,437.5
346.5,431.5
344.5,427.5
346.5,421.5
345.5,419.5
345.5,412.5
345.5,408.5
344.5,404.5
346.5,398.5
346.5,395.5
345.5,388.5
344.5,384.5
347.5,380.5
346.5,377.5
346.5,377.5
345.5,376.5
369.5,371.5
367.5,366.5
371.5,366.5
369.5,362.5
375.5,360.5
373.5,359.5
375.5,355.5
